,./files/chrome.txt,./files/chromium.txt,./files/clang.txt,./files/firefox.txt,./files/gcc.txt,./files/gnome_calc.txt,./files/gnome_calendar.txt,./files/gxx.txt,./files/htop.txt,./files/lo_calc.txt,./files/loffice.txt,./files/octave.txt,./files/scipysignal.txt,./files/sklearn.txt
stat,221,0,0,12,0,15,0,0,0,8,10,0,0,0
statfs,3,3,0,8,0,2,2,0,1,0,0,2,0,1
statx,2,0,0,27,0,13,0,0,0,0,0,0,0,0
symlink,4,0,0,3,0,0,0,0,0,0,0,0,0,0
symlinkat,0,0,0,0,0,0,0,0,0,0,0,1,0,0
sysinfo,3,0,0,5,0,0,0,0,0,0,0,0,1,1
umask,0,2,0,4,0,2,0,0,0,0,0,2,0,0
uname,111,2,0,20,0,8,0,0,0,0,0,2,2,2
unlink,177,0,1,3,3,0,0,3,0,0,0,0,0,2
vfork,0,0,0,0,3,0,0,3,0,0,0,0,0,0
wait4,18,1,2,4,3,0,0,3,0,17,17,1,0,0
waitid,0,1,0,0,0,0,0,0,0,0,0,1,0,0
write,3470,2,0,6159,0,244,81,0,742,1,1,5,0,2
writev,1799,0,0,1847,0,3701,0,0,0,0,0,0,0,0
