,syscall_names,./chrome
0,futex,571.8
1,recvmsg,167.5
2,recvfrom,12.6
3,pipe,7.0
4,socketpair,6.0
5,setsockopt,5.0
6,sendmsg,4.0
7,socket,4.0
8,connect,4.0
9,sendto,4.0
10,shutdown,3.0
11,getpeername,2.0
12,getsockname,2.0
13,set_robust_list,1.0
