,syscall_names,./mozilla
0,recvmsg,156494.5
1,futex,35002.3
2,socketpair,30.0
3,recvfrom,21.8
4,sendmsg,21.2
5,sendto,13.1
6,socket,11.1
7,connect,11.1
8,pipe,5.0
9,getsockname,3.0
10,shmdt,2.8
11,setsockopt,2.1
12,getsockopt,2.0
13,shutdown,2.0
14,pipe2,1.1
15,set_robust_list,1.0
16,getpeername,1.0
